Date,Désignation,Titre,Crédit (€),ISIN,Débit (€),QUANTITE,COURS,BRUT,COURTAGE,TVA,Heure Execution,Lieu,PX UN.BRUT,COMMISSION,CRED. IMPOT,ENTREE DE
06/05/2024,TAXE TRANSACT FINANCIERES,TTF,,FR0013269123,0.29,,,,,,,,,,,
13/05/2024,ACHAT COMPTANT,AM.P.SP500 ES.EUR,,FR0013412285,199.18,5,39.638,198.19,0.99,0,11:38:55,MORGAN STANLEY EUROPE S.E.,,,,
13/05/2024,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,170,,,,,,,,,,,,,
13/05/2024,REGULARISATION PEA INT.,RBT CTGE 202404,0.56,,,,,,,,,,,,,
15/05/2024,COUPONS,SANOFI,7.52,FR0000120578,,-2,,7.52,,,,,3.76,0,0,
22/05/2024,COUPONS,AIR LIQUIDE,9.6,FR0000120073,,-3,,9.6,,,,,3.2,0,0,
23/05/2024,COUPONS,BNP PARIBAS ACT.A,9.2,FR0000131104,,-2,,9.2,,,,,4.6,0,0,
04/06/2024,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,250,,,,,,,,,,,,,
12/06/2024,ACHAT COMPTANT,AIR LIQUIDE,,FR0000120073,169.89,1,169.04,169.04,0.85,0,15:58:55,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
12/06/2024,TAXE TRANSACT FINANCIERES,TTF,,FR0000120073,0.51,,,,,,,,,,,
17/06/2024,ACHAT COMPTANT,AM.P.SP500 ES.EUR,,FR0013412285,84.47,2,42.025,84.05,0.42,0,09:50:46,MORGAN STANLEY EUROPE S.E.,,,,
18/06/2024,COUPONS,RUBIS,5.94,FR0013269123,,-3,,5.94,,,,,1.98,0,0,
01/07/2024,COUPONS,TOTALENERGIES SE,1.58,FR0000120271,,-2,,1.58,,,,,0.79,0,0,
01/07/2024,REGULARISATION PEA INT.,RBT CTGE 202405,1.48,,,,,,,,,,,,,
10/06/2024,ROMPU,AIR LIQUIDE,47.76,FR0000120073,,,,,,,,,,,,
25/07/2024,REGULARISATION PEA INT.,RBT CTGE 202406,1.27,,,,,,,,,,,,,
28/08/2024,ACHAT COMPTANT,AIR LIQUIDE,,FR0000120073,168.3,1,167.46,167.46,0.84,0,14:45:03,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
28/08/2024,ACHAT COMPTANT,AMUND.MSCI WORLD D,,LU2655993207,157.68,5,31.379,156.9,0.78,0,14:47:49,MORGAN STANLEY EUROPE S.E.,,,,
28/08/2024,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,250,,,,,,,,,,,,,
28/08/2024,TAXE TRANSACT FINANCIERES,TTF,,FR0000120073,0.5,,,,,,,,,,,
09/09/2024,ACHAT COMPTANT,AM.P.SP500 ES.EUR,,FR0013412285,285.41,7,40.631,284.42,0.99,0,10:18:54,MORGAN STANLEY EUROPE S.E.,,,,
08/09/2024,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,300,,,,,,,,,,,,,
01/10/2024,COUPONS,TOTALENERGIES SE,1.58,FR0000120271,,-2,,1.58,,,,,0.79,0,0,
15/10/2024,VENTE COMPTANT,TOTALENERGIES SE,119.18,FR0000120271,,-2,59.89,119.78,0.6,0,10:58:48,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
15/10/2024,ACHAT COMPTANT,AM.P.SP500 ESG ACC,,FR0013412285,133.18,3,44.172,132.52,0.66,0,11:08:50,MORGAN STANLEY EUROPE S.E.,,,,
17/10/2024,COUPONS,VINCI,2.1,FR0000125486,,-2,,2.1,,,,,1.05,0,0,
30/10/2024,VENTE COMPTANT,OREAL,349.41,FR0000120321,,-1,350.4,350.4,0.99,0,09:38:32,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
30/10/2024,VENTE COMPTANT,STELLANTIS,48.36,NL00150001Q9,,-4,12.15,48.6,0.24,0,17:17:45,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
30/10/2024,INVESTISSEMENT ESPECES,VIRT M. LAUTREC LU,250,,,,,,,,,,,,,
06/11/2024,ACHAT COMPTANT,AM.P.SP500 ESG ACC,,FR0013412285,360.93,8,44.992,359.94,0.99,0,09:37:24,MORGAN STANLEY EUROPE S.E.,,,,
08/11/2024,COUPONS,RUBIS,2.25,FR0013269123,,-3,,2.25,,,,,0.75,0,0,
12/11/2024,DET DROIT DE SOUSCRIPTION,ATOS SE DS24,,FR001400THA4,,60,,,,,,,,,,60
18/11/2024,ACHAT COMPTANT,AMU.ETF LEV.MS.USA,,FR0010755611,289.65,12,24.055,288.66,0.99,0,13:21:36,EURONEXT - EURONEXT PARIS,,,,
18/11/2024,REGULARISATION PEA INT.,RBT AMUNDI 202409,0.99,,,,,,,,,,,,,
03/12/2024,VENTE COMPTANT,VINCI,193.15,FR0000125486,,-2,97.06,194.12,0.97,0,15:15:35,MORGAN STANLEY EUROPE S.E. - SYSTEMA,,,,
03/12/2024,VENTE COMPTANT,BNP PARIBAS ACT.A,110.86,FR0000131104,,-2,55.71,111.42,0.56,0,15:15:01,CITADEL CONNECT EUROPE - EU - SYSTEM,,,,
03/12/2024,VENTE COMPTANT,ENGIE,74.87,FR0010208488,,-5,15.05,75.25,0.38,0,11:09:22,MORGAN STANLEY EUROPE S.E. - SYSTEMA,,,,
03/12/2024,VENTE COMPTANT,RUBIS,66.27,FR0013269123,,-3,22.2,66.6,0.33,0,11:08:36,MORGAN STANLEY EUROPE S.E. - SYSTEMA,,,,
03/12/2024,ACHAT COMPTANT,AM.P.SP500 ESG ACC,,FR0013412285,425.9,9,47.212,424.91,0.99,0,16:44:05,MORGAN STANLEY EUROPE S.E.,,,,
12/12/2024,RETRAIT TITRES FISCALISE,ATOS SE DS24,,FR001400THA4,,-60,0.001,,,,,,,,,
13/12/2024,COUPONS,AMUND.MSCI WORLD D,1.05,LU2655993207,,-5,,1.05,,,,,0.21,0,,
19/12/2024,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,200,,,,,,,,,,,,,
27/12/2024,ACHAT COMPTANT,AIR LIQUIDE,,FR0000120073,155.51,1,154.74,154.74,0.77,0,10:50:26,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
27/12/2024,TAXE TRANSACT FINANCIERES,TTF,,FR0000120073,0.46,,,,,,,,,,,
27/01/2025,REGULARISATION PEA INT.,RBT AMUNDI 202411,0.99,,,,,,,,,,,,,
27/01/2025,REGULARISATION PEA INT.,RBT AMUNDI 202412,0.99,,,,,,,,,,,,,
12/03/2025,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,303,,,,,,,,,,,,,
13/03/2025,ACHAT COMPTANT,AMU.ETF LEV.MS.USA,,FR0010755611,141.58,7,20.125,140.88,0.7,0,10:51:47,EURONEXT - EURONEXT PARIS,,,,
13/03/2025,ACHAT COMPTANT,AM.P.SP500 ESG ACC,,FR0013412285,124.84,3,41.406,124.22,0.62,0,09:04:16,EURONEXT - EURONEXT PARIS,,,,
13/03/2025,ACHAT COMPTANT,AMUND.MSCI WORLD D,,LU2655993207,96.37,3,31.962,95.89,0.48,0,10:49:15,MORGAN STANLEY EUROPE S.E.,,,,
17/04/2025,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,500,,,,,,,,,,,,,
24/04/2025,COUPONS,AIRBUS,3.4,NL0000235190,,-2,,4,,,,,2.0009,0,,
24/04/2025,COUPONS,AIRBUS,1.7,NL0000235190,,-2,,2,,,,,1.00045,0,,
25/04/2025,ACHAT COMPTANT,AMU.ETF LEV.MS.USA,,FR0010755611,87.54,5,17.42,87.1,0.44,0,09:18:38,HRTEU LIMITED - SYSTEMATIC INTERNALI,,,,
25/04/2025,ACHAT COMPTANT,AM.P.SP500 SCR.ACC,,FR0013412285,117.7,3,39.035,117.11,0.59,0,09:17:47,CBOE EUROPE - DXE ORDER BOOKS (NL),,,,
25/04/2025,ACHAT COMPTANT,AMUND.MSCI WORLD D,,LU2655993207,91.65,3,30.396,91.19,0.46,0,09:18:07,MORGAN STANLEY EUROPE S.E.,,,,
05/05/2025,INDEMNISATION,ATOS,,FR0000051732,,,,,,,,,,,,
05/05/2025,ESPECES SUR OST,INDEMNISATION,0.22,FR0000051732,,,,,,,,,,,,
07/05/2025,COUPONS,AXA,10.75,FR0000120628,,-5,,10.75,,,,,2.15,0,0,
14/05/2025,COUPONS,SANOFI,7.84,FR0000120578,,-2,,7.84,,,,,3.92,0,0,
21/05/2025,COUPONS,AIR LIQUIDE,19.8,FR0000120073,,-6,,19.8,,,,,3.3,0,0,
11/06/2025,ACHAT COMPTANT,THALES,,FR0000121329,249.49,1,248.5,248.5,0.99,0,17:08:40,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
11/06/2025,TAXE TRANSACT FINANCIERES,TTF,,FR0000121329,0.99,,,,,,,,,,,
10/07/2025,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,200,,,,,,,,,,,,,
11/07/2025,ACHAT COMPTANT,SANOFI,,FR0000120578,84.42,1,84,84,0.42,0,09:00:29,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
11/07/2025,ACHAT COMPTANT,AMU.ETF LEV.MS.USA,,FR0010755611,85.51,4,21.27,85.08,0.43,0,09:04:09,EURONEXT - EURONEXT PARIS,,,,
11/07/2025,TAXE TRANSACT FINANCIERES,TTF,,FR0000120578,0.34,,,,,,,,,,,
29/07/2025,ACHAT COMPTANT,AM.P.SP500 SCR.ACC,,FR0013412285,89.95,2,44.75,89.5,0.45,0,17:06:57,EURONEXT - EURONEXT PARIS,,,,
29/07/2025,ACHAT COMPTANT,AMUND.MSCI WORLD D,,LU2655993207,103.08,3,34.191,102.57,0.51,0,17:07:47,MORGAN STANLEY EUROPE S.E.,,,,
29/07/2025,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,200,,,,,,,,,,,,,
31/07/2025,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,200,,,,,,,,,,,,,
04/08/2025,ACHAT COMPTANT,THALES,,FR0000121329,239.69,1,238.7,238.7,0.99,0,10:41:12,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
04/08/2025,TAXE TRANSACT FINANCIERES,TTF,,FR0000121329,0.95,,,,,,,,,,,
01/09/2025,ACHAT COMPTANT,AXA,,FR0000120628,119.73,3,39.71,119.13,0.6,0,09:54:50,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
01/09/2025,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,175,,,,,,,,,,,,,
01/09/2025,TAXE TRANSACT FINANCIERES,TTF,,FR0000120628,0.48,,,,,,,,,,,
04/12/2025,COUPONS,THALES,1.9,FR0000121329,,-2,,1.9,,,,,0.95,0,0,
11/12/2025,COUPONS,AM.MSCI WLD.SWAP D,5.88,LU2655993207,,-14,,5.88,,,,,0.42,0,,
12/01/2026,ACHAT COMPTANT,AM.PEA EM.ES.T.ACC,,FR0013412020,90.15,3,29.9,89.7,0.45,0,10:39:20,EURONEXT - EURONEXT PARIS,,,,
12/01/2026,INVESTISSEMENT ESPECES,VIRT MONSIEUR LUCA,20,,,,,,,,,,,,,
22/04/2026,INVESTISSEMENT ESPECES,VIRT M     LUCAS L,200,,,,,,,,,,,,,
23/04/2026,COUPONS,AIRBUS,5.44,NL0000235190,,-2,,6.4,,,,,3.20144,0,,
07/05/2026,COUPONS,SANOFI,12.36,FR0000120578,,-3,,12.36,,,,,4.12,0,0,
13/05/2026,COUPONS,AXA,18.56,FR0000120628,,-8,,18.56,,,,,2.32,0,0,
14/05/2026,ACHAT COMPTANT,THALES,,FR0000121329,224.59,1,223.6,223.6,0.99,0,12:19:16,BORSE BERLIN EQUIDUCT TRADING - BERL,,,,
14/05/2026,TAXE TRANSACT FINANCIERES,TTF,,FR0000121329,0.89,,,,,,,,,,,
20/05/2026,COUPONS,AIR LIQUIDE,22.2,FR0000120073,,-6,,22.2,,,,,3.7,0,0,
20/05/2026,COUPONS,THALES,8.85,FR0000121329,,-3,,8.85,,,,,2.95,0,0,
29/05/2026,ACHAT COMPTANT,AM.MSCI WLD.SWAP D,,LU2655993207,160.41,4,39.903,159.61,0.8,0,16:11:01,MORGAN STANLEY EUROPE S.E.,,,,
29/05/2026,INVESTISSEMENT ESPECES,VIRT M     LUCAS L,150,,,,,,,,,,,,,
